1|C2|What is the time complexity of linear search?|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|c
2|C3|The main difference between an array and a linked list is that arrays have ___ access to any element, while linked lists have ___ access.|a. constant-time, constant-time|b. constant-time, linear-time|c. linear-time, constant-time|d. linear-time, linear-time|b
3|C1|The purpose of a stack data structure is to provide a ___ storage and retrieval mechanism.|a. First-In-First-Out (FIFO)|b. Last-In-First-Out (LIFO)|c. Random access|d. Constant-time|b
4|C1|A binary search tree maintains its search property by ensuring that for every node, all the elements in its ___ subtree are less than the node's value, and all the elements in its ___ subtree are greater than the node's value.|a. left, right|b. right, left|c. parent, child|d. root, leaf|a
5|C2|Recursion is a problem-solving technique where a function ___ itself to solve a smaller instance of the same problem.|a. loops|b. iterates|c. compares|d. calls|d
6|C1|The main difference between a min-heap and a max-heap is the ___ of the elements.|a. size|b. ordering|c. height|d. depth|b
7|C2|The time complexity of the merge sort algorithm is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|d
8|C1|To implement a queue using two stacks, you can use one stack for ___ operations and the other stack for ___ operations.|a. enqueue, dequeue|b. push, pop|c. front, rear|d. insert, delete|a
9|C2|Breadth-First Search (BFS) explores all the neighbors at the ___ depth level before moving on to the neighbors at the ___ depth level.|a. current, next|b. next, current|c. minimum, maximum|d. first, last|a
10|C2|The time complexity of inserting a new node into a binary search tree is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|b
11|C1|Hash tables provide ___ average-case performance for basic operations like insertion, deletion, and lookup.|a. logarithmic|b. linear|c. quadratic|d. constant|d
12|C2|In dynamic programming, complex problems are solved by breaking them down into ___ subproblems and ___ the solutions to those subproblems.|a. smaller, reusing|b. larger, discarding|c. constant, combining|d. linear, optimizing|a
13|C1|A doubly linked list node has ___ pointers: one pointing to the next node and one pointing to the previous node.|a. one|b. two|c. three|d. four|b
14|C2|The average-case time complexity of the quicksort algorithm is ___ .|a. O(1)|b. O(log n)|c. O(n)|d. O(n log n)|d
15|C1|A priority queue stores elements with associated ___ and allows for efficient retrieval of the element with the ___ priority.|a. indices, highest|b. keys, highest|c. priorities, highest|d. values, lowest|c
16|C3|Time complexity measures the ___ an algorithm takes to run, while space complexity measures the ___ an algorithm uses.|a. time, memory|b. space, time|c. operations, memory|d. memory, operations|a
17|C1|The purpose of a trie data structure is to efficiently store and retrieve ___ .|a. integers|b. floating-point numbers|c. strings|d. arrays|c
18|C1|An ___ matrix represents a graph by indicating whether there is an edge between each pair of vertices.|a. adjacency|b. incidence|c. distance|d. weight|a
19|C2|Dijkstra's algorithm is used to find the ___ path between a starting vertex and all other vertices in a weighted graph.|a. longest|b. shortest|c. most efficient|d. fastest|b
20|C3|The main differences between a min-heap and a binary search tree are the ___ they maintain and the ___ they use.|a. search property, data structure|b. minimum value, maximum value|c. insertion order, deletion order|d. height, depth|a
21|C3|Amortized analysis is a technique used to analyze the ___ time complexity of a sequence of operations, rather than the ___ time complexity of individual operations.|a. average-case, worst-case|b. worst-case, average-case|c. best-case, average-case|d. constant, logarithmic|a
22|C1|A ___ set, also known as a union-find data structure, is used to keep track of a collection of disjoint (non-overlapping) sets.|a. disjoint|b. connected|c. ordered|d. unordered|a
23|C1|A ___ list is a probabilistic data structure that provides efficient search, insertion, and deletion operations, with an average-case time complexity of O(log n).|a. linked|b. binary search|c. skip|d. doubly linked|c
24|C1|In a singly linked list, the time complexity of accessing the nth element is ___, inserting at the beginning is ___, and deleting the nth element is ___ .|a. O(1), O(n), O(1)|b. O(n), O(1), O(n)|c. O(n), O(1), O(1)|d. O(1), O(1), O(n)|b
25|C1|In a max-heap, the root node contains the ___ value, and the child nodes are ___ than their parent.|a. smallest, smaller|b. smallest, larger|c. largest, smaller|d. largest, larger|d
26|C2|Topological sorting is a linear ordering of the vertices in a ___ graph.|a. directed acyclic|b. undirected|c. weighted|d. bipartite|a
27|C1|A ___ buffer, also known as a ring buffer, is a data structure that uses a fixed-size array to store elements and maintains two pointers, one for the head and one for the tail.|a. circular|b. dynamic|c. fixed-size|d. sliding|a
28|C1|The purpose of a ___ tree is to enable efficient range queries on arrays, allowing for quick lookups of the minimum, maximum, or sum of all the elements in a given range.|a. binary search|b. segment|c. quadtree|d. suffix|b
29|C1|In a doubly linked list, the time complexity of accessing the nth element is ___, inserting at the beginning is ___, and deleting the first element is ___ .|a. O(1), O(n), O(1)|b. O(n), O(1), O(n)|c. O(n), O(1), O(1)|d. O(1), O(1), O(1)|c
30|C1|To implement an LRU (Least Recently Used) cache, you can use a combination of a ___ and a ___ .|a. hash table, array|b. binary search tree, linked list|c. hash table, doubly linked list|d. stack, queue|c
31|C3|A trie data structure is used to efficiently store and retrieve ___, while a binary search tree is used to efficiently store and retrieve ___ .|a. strings, integers|b. integers, strings|c. arrays, linked lists|d. linked lists, arrays|a
32|C3|Amortized time complexity is a way to analyze the ___ performance of a sequence of operations, rather than the ___ performance of individual operations.|a. worst-case, average-case|b. average-case, worst-case|c. best-case, average-case|d. constant, logarithmic|b
33|C1|A ___ data structure, also known as a disjoint-set, is used to keep track of a collection of disjoint (non-overlapping) sets.|a. union-find|b. binary search tree|c. hash table|d. trie|a
34|C1|A ___ tree is a self-balancing binary search tree that ensures the length of the longest path from the root to a leaf is no more than twice the length of the shortest path.|a. red-black|b. AVL|c. splay|d. treap|a
35|C1|The time complexities of common operations in a binary search tree are: accessing the nth element (O(log n)), inserting a new element (O(log n)), and finding the minimum/maximum element (O(log n)). Please choose a. True b. False|a. True|b. False|a
